"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Заказы","0","Получение заказа по трек-номеру","3","0","","0"
"0","Авторизация курьера","0","","9","0","","0"
"0","Удаление курьера","0","","3","0","","0"
"0","Регистрация курьера","1","","6","0","","0"
"0","Создание заказов","0","","4","0","","0"
"0","Принятие заказа","1","","4","0","","0"
"0","Список заказов","0","","1","0","","0"
